ResourceType      Locations    Name                    Zones    Restrictions
----------------  -----------  ----------------------  -------  ----------------------------------------------------------------------------------------------------------------------------------------------------
disks             centralus    PremiumV2_LRS           2        None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    Premium_LRS             1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    StandardSSD_LRS         1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    Standard_LRS            1,2,3    None
disks             centralus    UltraSSD_LRS            1,2,3    None
hostGroups/hosts  centralus    DADSv5-Type1            1,2,3    None
hostGroups/hosts  centralus    DASv4-Type1             1,2,3    None
hostGroups/hosts  centralus    DASv4-Type2             1,2,3    None
hostGroups/hosts  centralus    DASv5-Type1             1,2,3    None
hostGroups/hosts  centralus    DCdsv3-Type1            1        None
hostGroups/hosts  centralus    DCsv3-Type1             1        None
hostGroups/hosts  centralus    DDSv4-Type1             1,2,3    None
hostGroups/hosts  centralus    DDSv4-Type2             1,2,3    None
hostGroups/hosts  centralus    DDSv5-Type1             1,2,3    None
hostGroups/hosts  centralus    DSv3-Type1              1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
hostGroups/hosts  centralus    DSv3-Type2              1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,2,3']
hostGroups/hosts  centralus    DSv3-Type3              1,2,3    None
hostGroups/hosts  centralus    DSv3-Type4              1,2,3    None
hostGroups/hosts  centralus    DSv4-Type1              1,2,3    None
hostGroups/hosts  centralus    DSv4-Type2              1,2,3    None
hostGroups/hosts  centralus    DSv5-Type1              1,2,3    None
hostGroups/hosts  centralus    EADSv5-Type1            1,2,3    None
hostGroups/hosts  centralus    EASv4-Type1             1,2,3    None
hostGroups/hosts  centralus    EASv4-Type2             1,2,3    None
